"year","Factor","Month_01_Data","Month_02_Data","Month_03_Data","Month_04_Data","Month_05_Data","Month_06_Data","Month_07_Data","Month_08_Data","Month_09_Data","Month_10_Data","Month_11_Data","Month_12_Data"
2025,Working Day,,,,,6539428.66,5826808.57,7573382.26,,,,,
2025,Holiday,,,,,7391175.58,6677040.48,8295456.8,,,,,
2025,total_4g_data_daily,,,,,6583912.65,6078405.99,6662765.7,,,,,
2025,total_5g_data_daily,,,,,928843.44,950295.53,1053260.84,,,,,
2025,total_dl_vol_gb_daily,,,,,7124623.16,7139658.57,7586679.82,,,,,
2025,total_ul_vol_gb_daily,,,,,687145.18,681723.79,731374.56,,,,,
2025,CPE_and_others,,,,5.68,6.75,6.59,6.16,,,,,
2025,KDDI_Roaming,,,,372842.99,466308.3,507334.67,495385.3,,,,,
2025,Repeater,,,,6.02,7.29,7.18,6.74,,,,,
2025,IR_Roaming,,,,3909.84,5084.35,4588.63,4951.24,,,,,
2025,B2B,,,,0.48,0.58,0.55,0.52,,,,,
2025,B2C,,,,0.92,1.11,1.09,1.04,,,,,
